Genome,Accession
Bat coronavirus,NC_048212
Rodent coronavirus,NC_046954
Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,NC_046964
Bat Hp-betacoronavirus/Zhejiang2013,NC_025217
Bat coronavirus 1A,NC_010437
Bat coronavirus BM48-31/BGR/2008,NC_014470
Bat coronavirus CDPHE15/USA/2006,NC_022103
Beluga whale coronavirus SW1,NC_010646
Betacoronavirus England 1,NC_038294
Middle East respiratory syndrome-related coronavirus,NC_019843
Betacoronavirus Erinaceus/VMC/DEU/2012,NC_039207
Betacoronavirus HKU24,NC_026011
Bovine coronavirus,NC_003045
Human coronavirus OC43,NC_006213
BtMr-AlphaCoV/SAX2011,NC_028811
BtNv-AlphaCoV/SC2013,NC_028833
BtRf-AlphaCoV/HuB2013,NC_028814
BtRf-AlphaCoV/YN2012,NC_028824
Bulbul coronavirus HKU11-934,NC_011547
Camel alphacoronavirus,NC_028752
Human coronavirus 229E,NC_002645
Canada goose coronavirus,NC_046965
Common moorhen coronavirus HKU21,NC_016996
Coronavirus AcCoV-JC34,NC_034972
Duck coronavirus,NC_048214
Turkey coronavirus,NC_010800
Feline infectious peritonitis virus,NC_002306
Swine enteric coronavirus,NC_028806
Transmissible gastroenteritis virus,NC_038861
Ferret coronavirus,NC_030292
Human coronavirus HKU1,NC_006577
Human coronavirus NL63,NC_005831
Lucheng Rn rat coronavirus,NC_032730
Magpie-robin coronavirus HKU18,NC_016993
Miniopterus bat coronavirus HKU8,NC_010438
Mink coronavirus strain WD1127,NC_023760
Munia coronavirus HKU13-3514,NC_011550
Murine hepatitis virus,NC_048217
Rat coronavirus Parker,NC_012936
NL63-related bat coronavirus,
Night heron coronavirus HKU19,NC_016994
Pipistrellus bat coronavirus HKU5,NC_009020
Porcine coronavirus HKU15,NC_039208
Porcine epidemic diarrhea virus,NC_003436
Rabbit coronavirus HKU14,NC_017083
Rhinolophus bat coronavirus HKU2,NC_009988
Rousettus bat coronavirus,NC_030886
Rousettus bat coronavirus HKU10,NC_018871
Rousettus bat coronavirus HKU9,NC_009021
SARS coronavirus Tor2,NC_004718
Severe acute respiratory syndrome coronavirus 2,NC_045512
Scotophilus bat coronavirus 512,NC_009657
Shrew coronavirus,NC_046955
Sparrow coronavirus HKU17,NC_016992
Thrush coronavirus HKU12-600,NC_011549
Tylonycteris bat coronavirus HKU4,NC_009019
Wencheng Sm shrew coronavirus,NC_035191
White-eye coronavirus HKU16,NC_016991
Wigeon coronavirus HKU20,NC_016995
