Genome,Accession
Abelson murine leukemia virus,NC_001499
Avian carcinoma virus,NC_001402
Avian leukemia virus,NC_015116
Avian leukosis virus - RSA,NC_001408
Avian myeloblastosis virus,NC_043404
Avian myelocytomatosis virus,NC_001866
Avian sarcoma virus CT10,NC_038922
Baboon endogenous virus strain M7,NC_022517
Bovine immunodeficiency virus,NC_001413
Bovine leukemia virus,NC_001414
Bovine retrovirus CH15,NC_029852
Caprine arthritis encephalitis virus,NC_001463
Chick syncytial virus,NC_043196
Desmodus rotundus endogenous retrovirus,NC_027117
Endogenous langur type D retrovirus PO-1-Lu,NC_043193
Enzootic nasal tumour virus of goats,NC_004994
Equine infectious anemia virus,NC_001450
Feline immunodeficiency virus,NC_001482
Feline leukemia virus,NC_001940
Feline sarcoma virus (STRAIN HARDY-ZUCKERMAN 4),NC_038923
Finkel-Biskis-Jinkins murine sarcoma virus,NC_038858
Friend murine leukemia virus,NC_001362
Moloney murine leukemia virus,NC_001501
Murine type C retrovirus,NC_001702
Fujinami sarcoma virus,NC_001403
Gibbon ape leukemia virus,NC_001885
Harvey murine sarcoma virus,NC_038668
Human T-cell leukemia virus type I,NC_001436
Primate T-lymphotropic virus 1,NC_000858
Human T-lymphotropic virus 2,NC_001488
Simian T-lymphotropic virus 2,NC_001815
Human T-lymphotropic virus 4,NC_011800
Human immunodeficiency virus 1,NC_001802
Human immunodeficiency virus 2,NC_001722
Jaagsiekte sheep retrovirus,NC_001494
Jembrana disease virus,NC_001654
Kirsten murine sarcoma virus,NC_043426
Koala retrovirus,NC_039228
Mason-Pfizer monkey virus,NC_001550
Moloney murine sarcoma virus,NC_001502
Mouse mammary tumor virus,NC_001503
Murine osteosarcoma virus,NC_001506
Mus musculus mobilized endogenous polytropic provirus,NC_029853
Ovine enzootic nasal tumor virus,NC_007015
Ovine lentivirus,NC_001511
Porcine endogenous retrovirus E,NC_003059
PreXMRV-1,NC_007815
Primate T-lymphotropic virus 3,NC_003323
Puma lentivirus 14,NC_038669
RD114 retrovirus,NC_009889
Reticuloendotheliosis virus,NC_006934
Rous sarcoma virus,NC_001407
Simian T-cell lymphotropic virus 6,NC_011546
Simian immunodeficiency virus,NC_001549
Simian immunodeficiency virus SIV-mnd 2,NC_004455
Simian retrovirus 4,NC_014474
Simian retrovirus 8,NC_031326
Snakehead retrovirus,NC_001724
Snyder-Theilen feline sarcoma virus,NC_043382
Spleen focus-forming virus,NC_001500
Squirrel monkey retrovirus,NC_001514
UR2 sarcoma virus,NC_001618
Visna-maedi virus,NC_001452
Walleye dermal sarcoma virus,NC_001867
Walleye epidermal hyperplasia virus 1,NC_043194
Walleye epidermal hyperplasia virus 2,NC_043195
Woolly monkey sarcoma virus,NC_009424
Y73 sarcoma virus,NC_008094
African green monkey simian foamy virus,NC_010820
Bovine foamy virus,NC_001831
Brown greater galago prosimian foamy virus,NC_039023
Central cimpanzee simian foamy virus,NC_039024
Eastern chimpanzee simian foamy virus,NC_039025
Equine foamy virus,NC_002201
Feline foamy virus,NC_039242
Guenon simian foamy virus,NC_043445
Japanese macaque simian foamy virus,NC_039026
Puma feline foamy virus,NC_039022
Rhesus macaque simian foamy virus,NC_039238
Simian foamy virus,NC_001364
Simian foamy virus Pongo pygmaeus pygmaeus,NC_039085
Spider monkey simian foamy virus,NC_039027
Squirrel monkey simian foamy virus,NC_039028
Western lowland gorilla simian foamy virus,NC_039029
White-tufted-ear marmoset simian foamy virus,NC_039030
Yellow-breasted capuchin simian foamy virus,NC_039031
Atlantic salmon swim bladder sarcoma virus,NC_007654
Avian endogenous retrovirus EAV-HP,NC_005947
Citrus endogenous pararetrovirus,NC_023153
Human endogenous retrovirus K113,NC_022518
Saesbyeol virus,NC_040462
Xenopus laevis endogenous retrovirus Xen1,NC_010955
