Genome,Accession
Wenling crustacean virus 10,NC_032739
Wenling crustacean virus 11,NC_032781
Shayang Fly Virus 3,NC_031216
Wuhan House Fly Virus 2,NC_031283
Adelaide River virus,NC_028246
Almendravirus arboretum,NC_025393
Almendravirus balsa,NC_039200
Almendravirus chico,NC_031958
Almendravirus cootbay,NC_031957
Almpiwar virus,NC_025391
American bat vesiculovirus TFFN-2013,NC_022755
Bahia Grande virus,NC_055531
Barur virus,NC_034535
Beatrice Hill virus,NC_039021
Berrimah virus,NC_025358
Bole Tick Virus 2,NC_031079
Bovine ephemeral fever virus,NC_002526
Caligus rogercresseyi rhabdovirus,NC_043525
Carajas virus,NC_038285
Chaco virus,NC_034550
Chandipura virus,NC_020805
Coastal Plains virus,NC_025397
Cocal virus,NC_028255
Cuiaba virus,NC_055509
Culex rhabdo-like virus,NC_035132
Culex tritaeniorhynchus rhabdovirus,NC_025384
Curionopolis virus,NC_039201
Dolphin rhabdovirus,NC_025406
Drosophila affinis sigmavirus,NC_038278
Drosophila ananassae sigmavirus,NC_038279
Drosophila immigrans sigmavirus,NC_038280
Drosophila melanogaster sigmavirus AP30,NC_013135
Drosophila melanogaster sigmavirus HAP23,NC_038281
Drosophila obscura sigmavirus 10A,NC_022580
Drosophila tristis sigmavirus,NC_043065
Durham virus,NC_038284
Eel virus European X,NC_022581
Ekpoma virus 1,NC_038282
Ekpoma virus 2,NC_038283
European bat 1 lyssavirus,NC_009527
European bat 2 lyssavirus,NC_009528
Fikirini rhabdovirus,NC_025341
Fukuoka virus,NC_034454
Gannoruwa bat lyssavirus,NC_031988
Garba virus,NC_055530
Grass carp virus,NC_025376
Sprivivirus esox,NC_025356
Tench rhabdovirus,NC_025371
Gray Lodge virus,NC_034541
Hapavirus flanders,NC_039202
Hapavirus ngaingan,NC_013955
Hapavirus wongabel,NC_011639
Harrison Dam virus,NC_055460
Hart Park virus,NC_034447
Holmes Jungle virus,NC_055473
Hubei diptera virus 10,NC_033103
Hubei diptera virus 9,NC_033034
Hubei lepidoptera virus 2,NC_032907
Ikoma lyssavirus,NC_018629
Inhangapi virus,NC_028230
Iriri virus,NC_034544
Isfahan virus,NC_020806
Itacaiunas virus,NC_034536
Joinjakaka virus,NC_034538
Kamese virus,NC_034450
Kanyawara virus,NC_039020
Kern Canyon virus,NC_034451
Keuraliba virus,NC_034540
Kimberley virus,NC_025396
Klamath virus,NC_034549
Kolente virus,NC_025342
Koolpinyah virus,NC_028239
Kotonkan virus,NC_017714
Kumasi rhabdovirus,NC_028236
Kwatta virus,NC_055456
La Joya virus,NC_034537
Lake trout rhabdovirus 903/87,NC_038277
Landjia virus,NC_034533
Le Dantec virus,NC_034443
Ledantevirus nishimuro,NC_038276
Lepeophtheirus salmonis rhabdovirus 127,NC_055138
Lepeophtheirus salmonis rhabdovirus 9,NC_055137
Lleida bat lyssavirus,NC_031955
Long Island tick rhabdovirus,NC_025340
Lyssavirus Ozernoe,NC_025408
Lyssavirus aravan,NC_020808
Lyssavirus australis,NC_003243
Lyssavirus bokeloh,NC_025251
Lyssavirus caucasicus,NC_025377
Lyssavirus duvenhage,NC_020810
Lyssavirus irkut,NC_020809
Lyssavirus khujand,NC_025385
Lyssavirus lagos,NC_020807
Lyssavirus mokola,NC_006429
Lyssavirus rabies,NC_001542
Lyssavirus shimoni,NC_025365
Malakal virus,NC_025400
Manitoba virus,NC_034531
Maraba virus,NC_025255
Marco virus,NC_034530
Menghai rhabdovirus,NC_040602
Merida virus,NC_040599
Mosqueiro virus,NC_034448
Mossuril virus,NC_038275
Mount Elgon bat virus,NC_034545
Moussa virus,NC_025359
Muir Springs virus,NC_055532
Muscina stabulans sigmavirus,NC_043066
New Minto virus,NC_055457
Niakha virus,NC_025405
Nkolbisson virus,NC_034539
Oak-Vale virus,NC_025399
Obodhiang virus,NC_017685
Ohlsdorf virus,NC_055477
Oita virus,NC_034548
Ord River virus,NC_034543
Parry Creek virus,NC_034449
Perhabdovirus perca,NC_020803
Piry virus,NC_038286
Puerto Almendras virus,NC_025395
Rochambeau virus,NC_034534
Santa barbara virus,NC_028234
Sawgrass virus,NC_055461
Scophthalmus maximus rhabdovirus,NC_025387
Sena Madureira virus,NC_034529
Shayang Fly Virus 2,NC_031215
Siniperca chuatsi rhabdovirus,NC_008514
Sprivivirus cyprinus,NC_002803
Sripur virus,NC_034542
Sunguru virus,NC_025401
Sweetwater Branch virus,NC_034546
Taiwan bat lyssavirus,NC_055474
Tibrogargan virus,NC_020804
Tibrovirus congo,NC_043067
Tongilchon virus 1,NC_028484
Tupaia virus,NC_007020
Vaprio virus,NC_043538
Vesicular stomatitis Alagoas virus,NC_025353
Vesicular stomatitis Indiana virus,NC_001560
Vesicular stomatitis New Jersey virus,NC_024473
Vesiculovirus bogdanovac,NC_025378
Vesiculovirus jurona,NC_039206
Vesiculovirus malpais,NC_025364
Vesiculovirus morreton,NC_034508
Vesiculovirus perinet,NC_025394
Vesiculovirus radi,NC_038287
Walkabout Creek virus,NC_028232
Wuhan Fly Virus 2,NC_031278
Wuhan House Fly Virus 1,NC_031282
Wuhan Louse Fly Virus 10,NC_031240
Wuhan Louse Fly Virus 5,NC_031301
Wuhan Louse Fly Virus 9,NC_031302
Wuhan Tick Virus 1,NC_031304
Xiburema virus,NC_025362
Xingshan nematode virus 4,NC_033701
Xinzhou nematode virus 4,NC_033705
Yata virus,NC_028241
Yongjia Tick Virus 2,NC_031305
Zahedan rhabdovirus,NC_040664
Hubei rhabdo-like virus 9,NC_033267
Shayang ascaridia galli virus 2,NC_033182
Spodoptera frugiperda rhabdovirus,NC_025382
Alfalfa dwarf virus,NC_028237
Black grass varicosavirus-like virus,NC_026798
Cabbage cytorhabdovirus 1,NC_055479
Citrus chlorotic spot virus,NC_055209
Citrus leprosis virus N,NC_052230
Clerodendrum chlorotic spot virus,NC_043648
Coffee ringspot virus,NC_038755
Colocasia bobone disease-associated virus,NC_034551
Cytorhabdovirus caricae,NC_055504
Cytorhabdovirus fragariae,NC_055567
Cytorhabdovirus gramineae,NC_002251
Cytorhabdovirus hordei,NC_028244
Datura yellow vein nucleorhabdovirus,NC_028231
Dichorhavirus orchidaceae,NC_009608
Eggplant mottled dwarf nucleorhabdovirus,NC_025389
Lettuce necrotic yellows virus,NC_007642
Lettuce yellow mottle virus,NC_011532
Maize Iranian mosaic nucleorhabdovirus,NC_036390
Maize fine streak nucleorhabdovirus,NC_005974
Maize mosaic nucleorhabdovirus,NC_005975
Maize yellow striate virus,NC_055454
Morogoro maize-associated virus,NC_055512
Persimmon virus A,NC_018381
Physostegia chlorotic mottle virus,NC_055466
Potato yellow dwarf nucleorhabdovirus,NC_016136
Raspberry vein chlorosis virus,NC_055529
